Gene_Symbol,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Tissue_Breadth,Directional_Consistency_Pct,Study_Count,Functional_Category,N_Measurements
SERPINA1E,3.060987042523208,3.060987042523208,1,100.0,1,Inflammation,1
SERPINB2,-2.9809275643880704,2.9809275643880704,2,100.0,2,Fibrinolysis,2
Serpinb5,-1.9454278551826791,1.9454278551826791,1,100.0,1,Other,1
Serpinf1,-1.7869793279360333,1.7869793279360333,7,100.0,3,Other,7
Serpinh1,-1.659156711240067,1.659156711240067,8,100.0,4,ECM Assembly,8
Serpinb6a,1.5692889248787494,1.5692889248787494,4,100.0,1,Other,4
A2m,1.3704393765914222,1.3704393765914222,2,100.0,1,Broad Inhibitor,2
Serpina3n,1.2166248575391774,1.2166248575391774,4,100.0,3,Inflammation,4
Serpina1e,-1.1287080627100883,1.1287080627100883,7,100.0,3,Inflammation,7
SERPINA10,0.9516466190924204,0.9516466190924204,4,100.0,2,Inflammation,4
SERPINA6,0.8463578697726755,0.8463578697726755,6,66.66666666666666,4,Other,6
CAP2,0.8243974320088205,0.8243974320088205,2,50.0,2,Other,2
SERPIND1,0.7660937378245354,0.7660937378245354,9,66.66666666666666,6,Other,9
SERPINB9,-0.7023150194246655,0.7023150194246655,5,60.0,5,Other,5
Serpinb9b,0.6355421011915392,0.6355421011915392,2,100.0,1,Other,2
Serpina1a,0.6301458740528811,0.6301458740528811,5,80.0,2,Inflammation,5
SERPINA3K,-0.6279623038351408,0.6279623038351408,1,100.0,1,Inflammation,1
SERPINI2,-0.5561218359720759,0.5561218359720759,2,100.0,1,Other,2
SERPINA1C,0.5553581152755924,0.5553581152755924,1,100.0,1,Inflammation,1
SERPINA7,0.5552129307653355,0.5552129307653355,4,75.0,2,Other,4
Serpina3m,0.5551519012169249,0.5551519012169249,5,100.0,2,Inflammation,5
SERPINA1B,0.5370063864502198,0.5370063864502198,1,100.0,1,Inflammation,1
SERPING1,0.5331479320261056,0.5331479320261056,9,54.54545454545454,6,Complement,11
SERPINC1,0.512941287211396,0.512941287211396,10,70.0,7,Coagulation,10
SERPINH1,-0.5100622561100033,0.5100622561100033,10,80.0,7,ECM Assembly,10
Serpine2,0.5075444963664232,0.5075444963664232,7,85.71428571428571,3,Fibrinolysis,7
SERPINA1A,0.5036484603492991,0.5036484603492991,1,100.0,1,Inflammation,1
A2M,0.499191431465693,0.499191431465693,9,77.77777777777779,6,Broad Inhibitor,9
Serpini1,-0.46922775666428224,0.46922775666428224,2,100.0,1,Other,2
Serpina1b,0.46121428812583465,0.46121428812583465,8,75.0,4,Inflammation,8
SERPINE2,0.45107079058272653,0.45107079058272653,7,42.857142857142854,5,Fibrinolysis,7
SERPINB12,-0.4366909088299417,0.4366909088299417,4,75.0,3,Other,4
Serpinc1,0.4132727944075781,0.4132727944075781,8,87.5,4,Coagulation,8
Serpina1c,0.40559839795620717,0.40559839795620717,3,66.66666666666666,2,Inflammation,3
SERPINF2,0.40127447759275814,0.40127447759275814,10,70.0,7,Coagulation,10
SERPINA1D,0.3840817140864975,0.3840817140864975,1,100.0,1,Inflammation,1
SERPINB5,-0.3644518987450333,0.3644518987450333,1,100.0,1,Other,1
PZP,0.3530190347011143,0.3530190347011143,2,50.0,2,Broad Inhibitor,2
A2ML1,-0.3520730185045678,0.3520730185045678,1,100.0,1,Broad Inhibitor,1
SERPINB4,-0.3520730185045678,0.3520730185045678,1,100.0,1,Other,1
SERPINB7,-0.3520730185045678,0.3520730185045678,1,100.0,1,Other,1
SERPINA12,-0.3520730185045678,0.3520730185045678,1,100.0,1,Inflammation,1
SERPINA3N,0.3201485614386431,0.3201485614386431,2,100.0,2,Inflammation,2
SERPINA5,-0.3094081123321229,0.3094081123321229,7,85.71428571428571,4,Other,7
SERPINB8,-0.30153338511681477,0.30153338511681477,3,100.0,3,Other,3
SERPINB6,0.2848737562908493,0.2848737562908493,7,42.857142857142854,5,Other,7
SERPINA4,0.28121267362553476,0.28121267362553476,7,57.14285714285714,4,Other,7
SERPINF1,0.27156560667987667,0.27156560667987667,9,54.54545454545454,6,Other,11
Serpinf2,0.2670368005502585,0.2670368005502585,6,66.66666666666666,3,Coagulation,6
Serping1,-0.2554529675731708,0.2554529675731708,4,100.0,2,Complement,4
SERPINB3,0.24467044089710907,0.24467044089710907,2,50.0,2,Other,2
SERPINA3M,0.2352336795932439,0.2352336795932439,1,100.0,1,Inflammation,1
SERPINE1,-0.2165942135241543,0.2165942135241543,4,75.0,2,Fibrinolysis,4
Cap2,-0.213498268934834,0.213498268934834,4,75.0,3,Other,4
Serpinb9,-0.20473132596586818,0.20473132596586818,2,50.0,1,Other,2
SERPINA3G,-0.2014004879714158,0.2014004879714158,1,100.0,1,Inflammation,1
SERPINB6B,-0.200525994565627,0.200525994565627,2,100.0,2,Other,2
Serpina6,0.1802085575027854,0.1802085575027854,4,50.0,2,Other,4
Pzp,0.17356588923634284,0.17356588923634284,6,66.66666666666666,3,Broad Inhibitor,6
Serpina10,0.16664806372934085,0.16664806372934085,2,100.0,2,Inflammation,2
SERPINA1,0.15017941651545452,0.15017941651545452,8,60.0,5,Inflammation,10
SERPINB1,0.14749587825110394,0.14749587825110394,8,50.0,5,Other,8
SERPINA3,0.14228121566100677,0.14228121566100677,8,60.0,5,Inflammation,10
SERPINB1A,0.09728985789422578,0.09728985789422578,2,50.0,2,Other,2
SERPINB6;SERPINB6A,0.0875721497291798,0.0875721497291798,1,100.0,1,Other,1
Serpina3k,-0.08242615026957728,0.08242615026957728,4,75.0,3,Inflammation,4
Serpinb1a,0.07516545787524939,0.07516545787524939,8,37.5,4,Other,8
Serpinb6,0.07441561066766436,0.07441561066766436,4,50.0,3,Other,4
Serpind1,0.06763612243448455,0.06763612243448455,5,80.0,2,Other,5
Serpinb8,0.04414999023135649,0.04414999023135649,4,75.0,3,Other,4
SERPINB9B,0.0165355003227706,0.0165355003227706,1,100.0,1,Other,1
Serpina1d,0.014296011506436862,0.014296011506436862,8,62.5,4,Inflammation,8
