task,fold,r2,mae,rmse,auc,accuracy,precision,recall,f1
regression,1,-0.2375354766845703,0.09384963661432266,0.10958771371955478,,,,,
regression,2,-12.651214599609375,0.3349386155605316,0.3378418352480184,,,,,
regression,3,-2.1202306747436523,0.08031932264566422,0.09886405295531625,,,,,
regression,4,-2.1194956302642822,0.28952401876449585,0.35805470044588256,,,,,
regression,5,-0.43802452087402344,0.11751341819763184,0.1410890974289467,,,,,
classification,1,,,,1.0,1.0,1.0,1.0,1.0
classification,2,,,,1.0,1.0,1.0,1.0,1.0
classification,3,,,,1.0,1.0,1.0,1.0,1.0
classification,4,,,,1.0,1.0,1.0,1.0,1.0
classification,5,,,,1.0,1.0,1.0,1.0,1.0
