Rank,Hypothesis_ID,Hypothesis_Name,Question,Key_Finding,Metrics,Status,Claude_Codex_Agreement,Clinical_Potential,Claude_Score,Codex_Score,Both_Completed
1,H01,Compartment Mechanical Stress/Claude Code/90 Results Claude Code.Md,"Analysis of 3,161 ECM protein measurements across 16 tissue compartments reveals 1,254 antagonistic protein-compartment pairs (top magnitude: 8.85 SD ...",**.,R2=4.480,SUCCESS,PARTIAL,MEDIUM,96.0,88.0,True
2,H03,Tissue Aging Clocks/Claude Code/90 Results Claude Code.Md,"Tissues exhibit distinct aging velocities ranging 4-fold (1.02-4.29 |Δz|), with lung aging fastest (4.29) and tubulointerstitial slowest (1.02), drive...","**
-.",R2=87.000,SUCCESS,DISAGREE,MEDIUM,92.0,,True
3,H02,Serpin Cascade Dysregulation/Claude Code/90 Results Claude Code.Md,Comprehensive analysis of 72 serpins across ECM aging datasets reveals significant dysregulation (median |Δz|=0.37 vs 0.33 non-serpins) and multi-path...,N/A,R2=nan,SUCCESS,AGREE,MEDIUM,84.0,,True
4,H07,Coagulation Central Hub/Claude Code/90 Results Claude Code.Md,Deep learning analysis of 18 coagulation cascade proteins across 15 tissues REJECTS the hypothesis that coagulation dysregulation is THE central aging...,N/A,R2=0.220,SUCCESS,DISAGREE,MEDIUM,,,True
5,H08,S100 Calcium Signaling/Claude Code/90 Results Claude Code.Md,"S100 proteins predict tissue stiffness via crosslinking enzymes (R²=0.81, p<0.001) rather than inflammation, resolving the paradox where S100 was ML-s...","** S100A10→TGM2 is the only nominally significant pair (p=0.036), representing a calcium-dependent transglutaminase activation pathway..",R2=0.810,SUCCESS,AGREE,MEDIUM,,,True
6,H09,Temporal Rnn Trajectories/Claude Code/90 Results Claude Code.Md,LSTM encoder-decoder achieves MSE=0.165 (target: <0.3) and R²=0.81 (target: >0.80) for 1-step protein trajectory prediction using tissue velocity as p...,"** LSTM successfully predicts future protein states in aging trajectory with high accuracy (81% variance explained), confirming aging is a.",R2=0.810,SUCCESS,DISAGREE,MEDIUM,,,True
7,H10,Calcium Signaling Cascade/Claude Code/90 Results Claude.Md,"CALM and CAMK mediator proteins are MISSING from ECM-Atlas dataset, preventing mediation analysis of the S100→CALM→CAMK→LOX/TGM pathway but S100A1/S10...",N/A,R2=0.990,SUCCESS,DISAGREE,MEDIUM,,,True
8,H11,Standardized Temporal Trajectories/Claude Code/90 Results Claude Code.Md,N/A,**.,R2=0.290,SUCCESS,AGREE,MEDIUM,,,True
9,H12,Metabolic Mechanical Transition/Claude Code/90 Results Claude Code.Md,"Changepoint analysis confirms v=2.17 (not 1.65) as optimal threshold separating slow-aging (Phase I, n=5, mean v=1.33) from fast-aging (Phase II, n=6,...",**.,R2=7.000,SUCCESS,AGREE,MEDIUM,,,True
10,H13,Independent Dataset Validation/Claude Code/90 Results Claude Code.Md,N/A,N/A,R2=0.810,SUCCESS,N/A,MEDIUM,,,False
11,H14,Serpin Centrality Resolution/Claude Code/90 Results Claude Code.Md,"Eigenvector centrality (ρ=0.929) and degree (ρ=0.997) predict knockout impact, not betweenness (ρ=0.033), resolving H02 disagreement in favor of Codex...",N/A,R2=nan,SUCCESS,DISAGREE,MEDIUM,,,True
12,H16,H13 Validation Completion/Claude Code/90 Results Claude Code.Md,N/A,"**
- Skeletal muscle velocity: 0.857-0.968 (top 20th percentile)
-.",R2=0.750,SUCCESS,N/A,MEDIUM,,,False
13,H17,Serpine1 Precision Target/Claude Code/90 Results Claude Code.Md,"SERPINE1 (PAI-1) is a CONDITIONAL GO for drug development—peripheral network position (eigenvector=0.0078, in-silico knockout -0.22%) contradicts netw...",N/A,R2=0.008,SUCCESS,AGREE,MEDIUM,,,True
14,H18,Multimodal Integration/Claude Code/90 Results Claude Code.Md,"Multimodal deep learning integration (AE+GNN+LSTM+S100) attempted on ECM aging dataset (18 samples, 910 proteins) revealed fundamental data limitation...",**.,N/A,SUCCESS,N/A,MEDIUM,,,False
15,H19,Metabolomics Phase1/Claude Code/90 Results Claude Code.Md,Phase I metabolic hypothesis **CANNOT be validated** due to unavailability of tissue-level metabolomics data in public repositories (Metabolomics Work...,N/A,R2=nan,SUCCESS,DISAGREE,MEDIUM,,,True
16,H20,Cross Species Conservation/Claude Code/90 Results Claude Code.Md,N/A,N/A,R2=1.000,SUCCESS,N/A,MEDIUM,,,False
17,H04,Deep Protein Embeddings/Claude Code/90 Results Claude Code.Md,"Deep autoencoder (94K parameters, 5-layer encoder) trained on 910 ECM proteins × 17 tissues discovered 10 non-linear latent factors representing infla...",N/A,R2=1.000,SUCCESS,N/A,LOW,,,False
18,H05,Gnn Aging Networks/Claude Code/90 Results Claude Code.Md,"GNN analysis of 551 ECM proteins across 17 tissues identified HAPLN1, ITIH2, and CRLF1 as top master regulators via multi-head attention, achieving 95...",N/A,R2=nan,SUCCESS,DISAGREE,LOW,,,True
19,H06,Ml Ensemble Biomarkers/Codex/90 Results Codex.Md,A three-model stack (RF + XGBoost + MLP) on tissue-level ECM z-score deltas isolates an eight-protein panel that maintains 0.80 F1 and 1.0 AUC for fas...,N/A,R2=nan,UNKNOWN,N/A,HIGH,,,False
20,H15,Ovary Heart Transition Biology/Codex/90 Results Codex.Md,N/A,N/A,R2=nan,UNKNOWN,N/A,MEDIUM,,,False
