Protein1,Protein2,R2_Improvement,Baseline_R2,With_Interaction_R2
AMPD3,DHRS4,3.822784003601471,-2.835538612543911,0.9872453910575603
SLC25A10,AMPD3,3.822557376690071,-2.835538612543911,0.9870187641461603
KBTBD3,SLC25A10,3.8215366961643378,-2.835538612543911,0.9859980836204268
GUF1,SLC25A10,3.821451387073707,-2.835538612543911,0.9859127745297962
KMT2A,DHRS4,3.820874035075627,-2.835538612543911,0.9853354225317162
GUF1,MPC2,3.820866866588176,-2.835538612543911,0.9853282540442649
DDX10,SLC25A10,3.82036956556916,-2.835538612543911,0.9848309530252491
GUF1,HSD11B2,3.8171636683596932,-2.835538612543911,0.9816250558157824
SLC25A10,BPHL,3.8170692795330123,-2.835538612543911,0.9815306669891016
DDX10,AMPD3,3.8166576108033863,-2.835538612543911,0.9811189982594756
GUF1,KMT2A,3.8163412817910833,-2.835538612543911,0.9808026692471727
DHRS4,HSD11B2,3.815963358257142,-2.835538612543911,0.9804247457132313
KBTBD3,KMT2A,3.815029623848456,-2.835538612543911,0.9794910113045453
KMT2A,AMPD3,3.8150249061875794,-2.835538612543911,0.9794862936436685
SLC25A10,HSD11B2,3.813996082786335,-2.835538612543911,0.9784574702424242
GUF1,BPHL,3.8137203087950384,-2.835538612543911,0.9781816962511274
MPC2,HSD11B2,3.8131200338873725,-2.835538612543911,0.9775814213434617
GUF1,DDX10,3.8125843792286145,-2.835538612543911,0.9770457666847037
KBTBD3,DHRS4,3.810782653604973,-2.835538612543911,0.9752440410610621
KMT2A,BPHL,3.8090930422999394,-2.835538612543911,0.9735544297560286
GUF1,DHRS4,3.809040049074299,-2.835538612543911,0.9735014365303879
KBTBD3,HSD11B2,3.8089719027517903,-2.835538612543911,0.9734332902078793
AMPD3,HSD11B2,3.808926569752411,-2.835538612543911,0.9733879572085001
DDX10,MPC2,3.804552977738131,-2.835538612543911,0.9690143651942204
KMT2A,HSD11B2,3.8034086496882606,-2.835538612543911,0.9678700371443497
DDX10,HSD11B2,3.803294481003843,-2.835538612543911,0.9677558684599323
KMT2A,SLC25A10,3.803255408037113,-2.835538612543911,0.9677167954932021
KMT2A,MPC2,3.799881192208762,-2.835538612543911,0.9643425796648512
DDX10,KMT2A,3.79970197980863,-2.835538612543911,0.9641633672647191
GUF1,KBTBD3,3.799405634421979,-2.835538612543911,0.9638670218780682
KBTBD3,DDX10,3.7981438087695105,-2.835538612543911,0.9626051962255999
MPC2,BPHL,3.795120313903645,-2.835538612543911,0.9595817013597345
KBTBD3,BPHL,3.7948545919807275,-2.835538612543911,0.9593159794368166
AMPD3,BPHL,3.794535749672219,-2.835538612543911,0.9589971371283081
DHRS4,BPHL,3.7940520558477684,-2.835538612543911,0.9585134433038577
MPC2,DHRS4,3.7920935105284945,-2.835538612543911,0.9565548979845839
DDX10,BPHL,3.788020363974402,-2.835538612543911,0.9524817514304914
DDX10,DHRS4,3.7822559439242376,-2.835538612543911,0.9467173313803265
GUF1,AMPD3,3.7742771184005153,-2.835538612543911,0.9387385058566045
SLC25A10,MPC2,3.7735580181148896,-2.835538612543911,0.938019405570979
KBTBD3,MPC2,3.7728063768713946,-2.835538612543911,0.937267764327484
AMPD3,MPC2,3.7727803189070475,-2.835538612543911,0.9372417063631366
HSD11B2,BPHL,3.754076849238822,-2.835538612543911,0.9185382366949111
SLC25A10,DHRS4,3.751421663984869,-2.835538612543911,0.9158830514409582
KBTBD3,AMPD3,3.406641212476918,-2.835538612543911,0.571102599933007
