meta_location,meta_path,duplicate_location,duplicate_path,filename,size,match_type,checksum
13_meta_insights,README.md,root,README.md,README.md,8883,Filename only (different content),meta:1e07b106 vs root:8f4b81ee
13_meta_insights,agent_15_timp3/agent_15_timp3_therapeutic_evaluator.py,scripts/,agent_15_timp3_therapeutic_evaluator.py,agent_15_timp3_therapeutic_evaluator.py,22833,Filename only (different content),meta:5650a5ae vs scripts:314da37b
13_meta_insights,synthesis/README.md,root,README.md,README.md,18986,Filename only (different content),meta:7cfe7723 vs root:8f4b81ee
13_meta_insights,agent_02_tissue_specific/agent_02_tissue_specific_analysis.py,scripts/,agent_02_tissue_specific_analysis.py,agent_02_tissue_specific_analysis.py,25332,MD5 checksum,8495e58d8653ce4baa2aa7b0141f215a
13_meta_insights,agent_01_universal_markers/agent_01_universal_markers_hunter.py,scripts/,agent_01_universal_markers_hunter.py,agent_01_universal_markers_hunter.py,32211,MD5 checksum,3f97ae0583e47db02e9880f94e795a3f
13_meta_insights,agent_19_conservation/agent_19_species_conservation_analyzer.py,scripts/,agent_19_species_conservation_analyzer.py,agent_19_species_conservation_analyzer.py,22686,Filename only (different content),meta:bfc27718 vs scripts:aa85dc6c
13_meta_insights,agent_07_methodology/agent_07_methodology_harmonizer.py,root,agent_07_methodology_harmonizer.py,agent_07_methodology_harmonizer.py,36149,MD5 checksum,5433677073c414e4b4a330b9f801df97
13_meta_insights,agent_17_crosslinking/agent_17_collagen_crosslinking_entropy.py,scripts/,agent_17_collagen_crosslinking_entropy.py,agent_17_collagen_crosslinking_entropy.py,20453,Filename only (different content),meta:6a8854c1 vs scripts:d831d4a9
13_meta_insights,agent_10_weak_signals/agent_10_summary_figure.py,root,agent_10_summary_figure.py,agent_10_summary_figure.py,7251,Filename only (different content),meta:5b939f3a vs root:1b1ea8d1
13_meta_insights,agent_10_weak_signals/agent_10_weak_signal_amplifier.py,root,agent_10_weak_signal_amplifier.py,agent_10_weak_signal_amplifier.py,8112,MD5 checksum,4e3c8bee47c1adbdd93280bf1c8cb213
13_meta_insights,agent_10_weak_signals/agent_10_visualizations.py,root,agent_10_visualizations.py,agent_10_visualizations.py,11405,Filename only (different content),meta:65b48872 vs root:df372aed
13_meta_insights,agent_14_wnt_pathway/agent_14_frzb_wnt_analysis.py,scripts/,agent_14_frzb_wnt_analysis.py,agent_14_frzb_wnt_analysis.py,16970,Filename only (different content),meta:76dcbe3c vs scripts:5e020741
13_meta_insights,agent_18_protease/agent_18_mmp_timp_protease_balance_analyzer.py,scripts/,agent_18_mmp_timp_protease_balance_analyzer.py,agent_18_mmp_timp_protease_balance_analyzer.py,23395,MD5 checksum,08f4b4caa5c8bbaa80428598968a458f
13_meta_insights,agent_03_nonlinear/agent_03_compartment_crosstalk.py,scripts/,agent_03_compartment_crosstalk.py,agent_03_compartment_crosstalk.py,25099,MD5 checksum,cb53b57545b0f055f6da7848a47afa3f
13_meta_insights,agent_12_versican/agent_12_versican_inflammatory_scaffold.py,scripts/,agent_12_versican_inflammatory_scaffold.py,agent_12_versican_inflammatory_scaffold.py,20484,Filename only (different content),meta:73791423 vs scripts:31812966
13_meta_insights,ml_agents/ml_agent_14_biological_integration.py,scripts/,ml_agent_14_biological_integration.py,ml_agent_14_biological_integration.py,9692,MD5 checksum,774b343057186406ce1427433e0bf02e
13_meta_insights,ml_agents/ml_agent_11_fixed.py,scripts/,ml_agent_11_fixed.py,ml_agent_11_fixed.py,3228,MD5 checksum,92880bd665c48ab60341fde6218f774e
13_meta_insights,ml_agents/ml_agent_15_deep_learning_predictor.py,scripts/,ml_agent_15_deep_learning_predictor.py,ml_agent_15_deep_learning_predictor.py,8933,MD5 checksum,834f88c923d9b23aa9119b70125a1154
13_meta_insights,ml_agents/ml_agent_13_network_topology.py,scripts/,ml_agent_13_network_topology.py,ml_agent_13_network_topology.py,8568,MD5 checksum,dd2d9527d0fbdf5330e4ae2917e410ec
13_meta_insights,ml_agents/ml_agent_11_random_forest_importance.py,scripts/,ml_agent_11_random_forest_importance.py,ml_agent_11_random_forest_importance.py,6817,MD5 checksum,a5c896762f7122512e8d0b17f55e1c2b
13_meta_insights,ml_agents/ml_agent_12_dimensionality_reduction.py,scripts/,ml_agent_12_dimensionality_reduction.py,ml_agent_12_dimensionality_reduction.py,8364,MD5 checksum,b47d9890176e2c882053a549113f6ef5
13_meta_insights,agent_20_biomarkers/agent_20_biomarker_panel_architect.py,scripts/,agent_20_biomarker_panel_architect.py,agent_20_biomarker_panel_architect.py,34665,MD5 checksum,dfdf9add187f308887cb1d95771c7407
13_meta_insights,agent_05_matrisome/agent_05_matrisome_category_analysis_v2.py,scripts/,agent_05_matrisome_category_analysis_v2.py,agent_05_matrisome_category_analysis_v2.py,32080,MD5 checksum,e1cb0a24b952885dd6b46167452557d6
13_meta_insights,agent_13_coagulation/agent_13_fibrinogen_coagulation_cascade.py,scripts/,agent_13_fibrinogen_coagulation_cascade.py,agent_13_fibrinogen_coagulation_cascade.py,36124,MD5 checksum,80c0e75fc8047528bd5c642f13831c4c
13_meta_insights,agent_11_cross_species/agent_11_basement_membrane_analysis.py,scripts/,agent_11_basement_membrane_analysis.py,agent_11_basement_membrane_analysis.py,14801,MD5 checksum,4a53e91d17ff15cef72b5915f5918f1a
13_meta_insights,agent_11_cross_species/agent_11_cross_species_analysis.py,scripts/,agent_11_cross_species_analysis.py,agent_11_cross_species_analysis.py,13425,MD5 checksum,e9678102c70691030655bc2fda135f45
13_meta_insights,agent_16_tgfb/agent_16_tgfb_pathway_analysis.py,scripts/,agent_16_tgfb_pathway_analysis.py,agent_16_tgfb_pathway_analysis.py,34947,Filename only (different content),meta:808627ec vs scripts:abd999f7
13_meta_insights,age_related_proteins/hypothesis_05_giants/README.md,root,README.md,README.md,5428,Filename only (different content),meta:ec1ffdfa vs root:8f4b81ee
13_meta_insights,age_related_proteins/hypothesis_01_inverse_paradox/README.md,root,README.md,README.md,8833,Filename only (different content),meta:5fa105fb vs root:8f4b81ee
